,loss,accuracy,val_loss,val_accuracy,lr
0,0.5511565804481506,0.7292592525482178,0.5513336658477783,0.7301960587501526,0.001
1,0.5490527153015137,0.7306753993034363,0.5544137954711914,0.7269716858863831,0.001
2,0.5472410917282104,0.7308932542800903,0.5571519136428833,0.7246187329292297,0.001
3,0.5456401109695435,0.7320043444633484,0.5544469952583313,0.7255773544311523,0.001
4,0.5359470248222351,0.7389324903488159,0.5472692847251892,0.7310675382614136,0.00025
5,0.5345599055290222,0.7395206689834595,0.5470388531684875,0.7300217747688293,0.00025
6,0.533743143081665,0.7400000095367432,0.5468210577964783,0.7296732068061829,0.00025
7,0.5328905582427979,0.7403050065040588,0.5467305779457092,0.7300217747688293,0.00025
8,0.5321912169456482,0.7408061027526855,0.5467944145202637,0.7302832007408142,0.00025
9,0.5315519571304321,0.7413289546966553,0.5466893911361694,0.7305446863174438,0.00025
10,0.53092360496521,0.7417864799499512,0.5467414259910583,0.7307189702987671,0.00025
11,0.5303522944450378,0.7424401044845581,0.5468464493751526,0.7311546802520752,0.00025
12,0.5297777056694031,0.7431590557098389,0.5470353960990906,0.7317647337913513,0.00025
13,0.5265281200408936,0.7453376650810242,0.5467038750648499,0.7306318283081055,6.25e-05
14,0.526207685470581,0.745555579662323,0.5468477606773376,0.7305446863174438,6.25e-05
15,0.5259863138198853,0.7454248070716858,0.5470714569091797,0.7306318283081055,6.25e-05
16,0.524962842464447,0.7457516193389893,0.5469277501106262,0.7313289642333984,1.5625e-05
17,0.5248886942863464,0.745773434638977,0.546981155872345,0.7317647337913513,1.5625e-05
18,0.5248296856880188,0.7457298636436462,0.5470064282417297,0.7316775321960449,1.5625e-05
19,0.5246386528015137,0.7458823323249817,0.5466306805610657,0.7311546802520752,3.90625e-06
20,0.524584174156189,0.7461438179016113,0.5466148853302002,0.7312418222427368,3.90625e-06
21,0.5245656371116638,0.746230959892273,0.5466169118881226,0.7311546802520752,3.90625e-06
22,0.5244959592819214,0.7460784316062927,0.5465703010559082,0.7308932542800903,1e-06
23,0.5244892239570618,0.7463181018829346,0.5465444326400757,0.7307189702987671,1e-06
24,0.5244821310043335,0.7462745308876038,0.5465319156646729,0.7308061122894287,1e-06
25,0.5244787931442261,0.7463616728782654,0.5465222001075745,0.7308061122894287,1e-06
26,0.5244749188423157,0.746448814868927,0.5465194582939148,0.7308061122894287,1e-06
27,0.5244706273078918,0.7464923858642578,0.5465163588523865,0.7307189702987671,1e-06
28,0.5244668126106262,0.7465577125549316,0.546516478061676,0.7306318283081055,1e-06
29,0.5244623422622681,0.7465577125549316,0.5465163588523865,0.7306318283081055,1e-06
30,0.5244585275650024,0.7465577125549316,0.5465170741081238,0.7306318283081055,1e-06
31,0.5244547128677368,0.7465795278549194,0.5465176701545715,0.7306318283081055,1e-06
32,0.5244507193565369,0.7466012835502625,0.5465182662010193,0.7306318283081055,1e-06
33,0.5244468450546265,0.7466012835502625,0.5465207695960999,0.7306318283081055,1e-06
34,0.5244423747062683,0.7465359568595886,0.5465240478515625,0.7306318283081055,1e-06
